cluster,annotation_type,gene
0,Active site,ABHD2
1,Active site,ABHD2
2,Active site,ABHD2
3,Active site,ABHD2
0,Active site,ABHD3
1,Active site,ABHD3
2,Active site,ABHD3
3,Active site,ABHD3
4,Active site,ABHD3
0,PTM - N-acetylalanine,ABHD5
1,binds to PLIN2,ABHD5
2,PTM - N-acetylalanine,ABHD5
3,binds to PLIN2,ABHD5
4,PTM - N-acetylalanine,ABHD5
5,binds to PLIN1,ABHD5
0,Active site,ABHD6
1,Active site,ABHD6
2,Active site,ABHD6
3,Binding site,ABHD6
4,binds to CKMT2,ABHD6
5,Active site,ABHD6
0,Active site,ABHD8
1,Active site,ABHD8
2,Active site,ABHD8
3,Active site,ABHD8
4,Active site,ABHD8
5,Active site,ABHD8
0,binds to WASF2,ABI1
1,binds to WASF1,ABI1
2,binds to CDK6,ABI1
3,binds to ABL1,ABI1
4,binds to NCKAP1,ABI1
5,binds to PIK3R1,ABI1
0,binds to LMO2,ABI2
1,binds to ADAM19,ABI2
2,binds to MRPL44,ABI2
3,binds to VCL,ABI2
4,binds to WASF1,ABI2
5,binds to NCKAP1,ABI2
1,binds to ABI3,ABI3BP
2,binds to ABI3,ABI3BP
3,binds to ABI3,ABI3BP
4,binds to ABI3,ABI3BP
0,PTM - Phosphoserine,ABI3
1,binds to NCK2,ABI3
2,PTM - Phosphoserine,ABI3
3,PTM - Phosphoserine,ABI3
4,PTM - Phosphoserine,ABI3
5,binds to GRB2,ABI3
0,binds to GRB2,ABL1
1,binds to KIT,ABL1
2,binds to NCK1,ABL1
3,binds to ABI1,ABL1
4,binds to NCKIPSD,ABL1
5,binds to EGFR,ABL1
0,binds to ERBB2,ABL2
1,binds to ABI1,ABL2
2,binds to KIT,ABL2
3,Binding site,ABL2
4,binds to MET,ABL2
5,binds to GRB2,ABL2
0,binds to BEGAIN,ABLIM1
1,PTM - Phosphoserine,ABLIM1
2,PTM - Phosphoserine,ABLIM1
3,PTM - Phosphoserine,ABLIM1
0,binds to ABRA,ABLIM2
1,binds to ABRA,ABLIM2
2,binds to ABRA,ABLIM2
3,binds to SREBF2,ABLIM2
4,PTM - Phosphoserine,ABLIM2
5,binds to SREBF2,ABLIM2
0,binds to CCDC33,ABLIM3
1,PTM - N-acetylmethionine,ABLIM3
2,binds to CCDC33,ABLIM3
3,PTM - N-acetylmethionine,ABLIM3
4,PTM - N-acetylmethionine,ABLIM3
5,binds to BRCA1,ABLIM3
0,PTM - N-acetylmethionine,ABRACL
1,PTM - N-acetylmethionine,ABRACL
2,PTM - N-acetylmethionine,ABRACL
3,PTM - N-acetylmethionine,ABRACL
4,PTM - N-acetylmethionine,ABRACL
5,PTM - N-acetylmethionine,ABRACL
0,PTM - Phosphoserine,ABRA
1,binds to ABLIM2,ABRA
2,binds to TRAPPC2,ABRA
3,binds to ABLIM2,ABRA
0,PTM - Phosphoserine,ABR
1,PTM - Phosphoserine,ABR
2,PTM - Phosphoserine,ABR
3,PTM - Phosphoserine,ABR
4,PTM - Phosphoserine,ABR
5,PTM - Phosphoserine,ABR
0,binds to KRR1,ABT1
1,binds to KRR1,ABT1
2,PTM - N-acetylmethionine,ABT1
3,binds to KRR1,ABT1
4,binds to KRR1,ABT1
5,binds to KRR1,ABT1
0,binds to MRPL53,ACAA1
1,binds to CDK12,ACAA1
2,binds to CAT,ACAA1
3,binds to CAT,ACAA1
4,binds to NDUFA2,ACAA1
5,binds to HSD17B4,ACAA1
0,Active site,ACAA2
1,binds to ACAT1,ACAA2
2,binds to RTN4,ACAA2
3,Binding site,ACAA2
4,binds to RTN4,ACAA2
5,Active site,ACAA2
0,binds to BRCA1,ACACA
1,Active site,ACACA
2,binds to IARS1,ACACA
3,binds to BRCA1,ACACA
4,binds to IARS1,ACACA
5,binds to ATXN1,ACACA
0,binds to HLCS,ACACB
1,binds to HLCS,ACACB
2,binds to HLCS,ACACB
3,binds to HLCS,ACACB
4,binds to HLCS,ACACB
5,binds to HLCS,ACACB
0,PTM - N6-succinyllysine,ACAD10
1,Binding site,ACAD10
2,Binding site,ACAD10
3,Binding site,ACAD10
4,Binding site,ACAD10
5,Binding site,ACAD10
0,binds to ESR2,ACAD11
1,PTM - N6-acetyllysine,ACAD11
2,PTM - N6-acetyllysine,ACAD11
3,binds to ESR2,ACAD11
4,PTM - N6-acetyllysine,ACAD11
5,binds to ESR2,ACAD11
0,Active site,ACAD8
1,Active site,ACAD8
2,binds to ACADSB,ACAD8
3,Binding site,ACAD8
4,Active site,ACAD8
5,binds to ETS1,ACAD8
0,binds to MRPL1,ACAD9
1,binds to TIMM50,ACAD9
2,Active site,ACAD9
3,binds to MT-ATP6,ACAD9
4,binds to NDUFA2,ACAD9
5,binds to ATP5F1A,ACAD9
1,Binding site,ACADL
2,Binding site,ACADL
3,PTM - N6-acetyllysine,ACADL
5,Binding site,ACADL
0,binds to LDHB,ACADM
1,binds to AASS,ACADM
2,Binding site,ACADM
3,binds to ATP1A1,ACADM
4,binds to ATP1A1,ACADM
5,Active site,ACADM
0,binds to ACAD8,ACADSB
1,binds to ACTR1A,ACADSB
2,PTM - N6-acetyllysine; alternate,ACADSB
3,Binding site,ACADSB
4,Binding site,ACADSB
5,binds to ACTR1A,ACADSB
0,binds to ARHGAP26,ACADS
1,binds to ARHGAP26,ACADS
2,binds to SEPHS1,ACADS
3,binds to ARHGAP26,ACADS
4,binds to ARHGAP26,ACADS
5,binds to ARHGAP26,ACADS
0,binds to ALB,ACADVL
1,binds to DENR,ACADVL
2,binds to ALB,ACADVL
3,binds to EEF2K,ACADVL
1,binds to HLA-DRA,ACAN
3,Sensor for electrophilic agents,ACAN
4,Sensor for electrophilic agents,ACAN
5,binds to ADAMTS4,ACAN
0,binds to NOD2,ACAP1
1,binds to ABL1,ACAP1
2,binds to ABL1,ACAP1
3,binds to ABL1,ACAP1
4,binds to ABL1,ACAP1
5,binds to ABL1,ACAP1
0,PTM - Phosphoserine,ACAP2
1,PTM - Phosphoserine,ACAP2
2,PTM - Phosphoserine,ACAP2
3,PTM - Phosphoserine,ACAP2
4,PTM - Phosphoserine,ACAP2
5,PTM - Phosphoserine,ACAP2
0,PTM - N6-acetyllysine; alternate,ACAT1
1,binds to SFXN1,ACAT1
2,binds to DDB1,ACAT1
3,Active site,ACAT1
4,binds to FOXM1,ACAT1
5,binds to DDB1,ACAT1
0,PTM - N-acetylmethionine,ACAT2
1,binds to AKT1,ACAT2
2,Binding site,ACAT2
3,binds to FH,ACAT2
4,Active site,ACAT2
0,Sensor for electrophilic agents,ACBD3
1,Sensor for electrophilic agents,ACBD3
2,Sensor for electrophilic agents,ACBD3
3,Sensor for electrophilic agents,ACBD3
0,Binding site,ACBD4
1,Binding site,ACBD4
2,Binding site,ACBD4
3,Binding site,ACBD4
4,Binding site,ACBD4
5,Binding site,ACBD4
0,Binding site,ACBD5
1,Binding site,ACBD5
2,Binding site,ACBD5
3,Binding site,ACBD5
4,PTM - Phosphoserine,ACBD5
5,Binding site,ACBD5
0,Binding site,ACBD6
1,PTM - Phosphoserine,ACBD6
2,binds to IKBKG,ACBD6
3,binds to HSPB1,ACBD6
0,Binding site,ACBD7
1,Binding site,ACBD7
2,Binding site,ACBD7
3,Binding site,ACBD7
4,Binding site,ACBD7
5,Binding site,ACBD7
0,PTM - N6-(pyridoxal phosphate)lysine,ACCSL
1,PTM - N6-(pyridoxal phosphate)lysine,ACCSL
2,PTM - N6-(pyridoxal phosphate)lysine,ACCSL
3,PTM - N6-(pyridoxal phosphate)lysine,ACCSL
4,PTM - N6-(pyridoxal phosphate)lysine,ACCSL
5,PTM - N6-(pyridoxal phosphate)lysine,ACCSL
0,binds to UQCRB,ACCS
1,binds to FBF1,ACCS
2,binds to FBF1,ACCS
3,PTM - N6-(pyridoxal phosphate)lysine,ACCS
4,binds to FBF1,ACCS
5,Binding site,ACCS
0,PTM - Phosphoserine,ACD
1,binds to ACTB,ACD
2,binds to ACTB,ACD
3,binds to ACTB,ACD
4,PTM - Phosphoserine,ACD
5,PTM - Phosphoserine,ACD
0,binds to CAT,ACE2
1,binds to AGT,ACE2
2,PTM - Phosphotyrosine,ACE2
3,binds to AGT,ACE2
4,binds to AGT,ACE2
5,binds to CAT,ACE2
0,Binding site,ACER1
1,Binding site,ACER1
2,Binding site,ACER1
3,Binding site,ACER1
4,Binding site,ACER1
5,Binding site,ACER1
0,Binding site,ACER2
1,Binding site,ACER2
2,Binding site,ACER2
3,Binding site,ACER2
0,Binding site,ACER3
1,Binding site,ACER3
2,Binding site,ACER3
3,Binding site,ACER3
4,Binding site,ACER3
5,Binding site,ACER3
0,binds to AGT,ACE
1,binds to APP,ACE
2,binds to AGT,ACE
3,binds to AGT,ACE
4,Binding site,ACE
0,binds to APP,ACHE
3,binds to CANX,ACHE
0,binds to RNPS1,ACIN1
1,binds to RNPS1,ACIN1
2,binds to RNPS1,ACIN1
3,binds to RNPS1,ACIN1
4,binds to RNPS1,ACIN1
5,binds to RNPS1,ACIN1
0,binds to CCL7,ACKR2
1,binds to CCL13,ACKR2
2,binds to CCL3,ACKR2
3,binds to CCL13,ACKR2
4,binds to CCL11,ACKR2
5,binds to CCL4,ACKR2
0,binds to ATP13A2,ACKR3
1,binds to ATP13A2,ACKR3
2,binds to ATP13A2,ACKR3
3,binds to ATP13A2,ACKR3
4,binds to ATP13A2,ACKR3
5,binds to ATP13A2,ACKR3
0,binds to CS,ACLY
1,binds to BAG3,ACLY
2,binds to CS,ACLY
3,binds to CS,ACLY
4,binds to BAG3,ACLY
5,binds to CS,ACLY
0,Binding site,ACMSD
1,binds to MAGEA11,ACMSD
2,binds to MAGEA11,ACMSD
3,binds to MAGEA11,ACMSD
4,Binding site,ACMSD
5,binds to MAGEA11,ACMSD
0,PTM - Phosphothreonine,ACO1
1,binds to CCDC69,ACO1
2,PTM - Phosphothreonine,ACO1
3,binds to CCDC69,ACO1
4,PTM - Phosphothreonine,ACO1
5,Binding site,ACO1
0,binds to ATP1B1,ACO2
2,binds to ATP1B1,ACO2
3,PTM - N6-succinyllysine,ACO2
0,Binding site,ACOT11
1,Binding site,ACOT11
3,Binding site,ACOT11
5,Binding site,ACOT11
0,Binding site,ACOT12
1,Binding site,ACOT12
2,Binding site,ACOT12
3,Binding site,ACOT12
4,Binding site,ACOT12
5,Binding site,ACOT12
0,PTM - N-acetylmethionine,ACOT13
1,binds to TRNT1,ACOT13
2,binds to FN1,ACOT13
3,binds to RAB31,ACOT13
0,binds to HIBCH,ACOT1
1,binds to HIBCH,ACOT1
2,Active site,ACOT1
3,Active site,ACOT1
4,Active site,ACOT1
0,binds to NLGN3,ACOT2
1,Active site,ACOT2
2,Active site,ACOT2
3,Active site,ACOT2
4,binds to NLGN3,ACOT2
5,binds to NLGN3,ACOT2
0,Active site,ACOT4
1,PTM - N6-succinyllysine,ACOT4
2,Active site,ACOT4
3,Active site,ACOT4
4,Active site,ACOT4
0,binds to ATXN1,ACOT7
1,binds to ATXN1,ACOT7
2,binds to ALDH9A1,ACOT7
3,binds to TNFAIP8,ACOT7
4,binds to ATXN1,ACOT7
5,binds to UBQLN1,ACOT7
0,binds to PEX5,ACOT8
1,binds to PEX5,ACOT8
2,binds to PEX5,ACOT8
3,binds to PEX5,ACOT8
4,binds to PEX5,ACOT8
5,binds to REL,ACOT8
0,PTM - N6-acetyllysine,ACOT9
1,PTM - N6-acetyllysine,ACOT9
3,PTM - N6-acetyllysine,ACOT9
5,PTM - N6-acetyllysine,ACOT9
0,binds to M6PR,ACOX1
1,binds to CAT,ACOX1
2,binds to COX6B1,ACOX1
3,binds to PALLD,ACOX1
4,binds to CAT,ACOX1
5,binds to COX6B1,ACOX1
0,binds to CLK1,ACOX2
1,binds to CLK1,ACOX2
2,binds to CLK1,ACOX2
3,binds to CLK1,ACOX2
4,binds to CLK1,ACOX2
5,binds to CLK1,ACOX2
0,binds to SMURF2,ACOX3
1,binds to SMURF2,ACOX3
2,binds to SMURF2,ACOX3
3,binds to SMURF2,ACOX3
0,Binding site,ACOXL
1,Binding site,ACOXL
2,Binding site,ACOXL
3,Binding site,ACOXL
0,PTM - N-acetylalanine,ACP1
1,binds to FNBP1L,ACP1
2,Active site,ACP1
3,binds to NR3C1,ACP1
4,binds to NR3C1,ACP1
5,binds to NR3C1,ACP1
0,Active site,ACP2
1,Active site,ACP2
2,Active site,ACP2
3,binds to M6PR,ACP2
4,Active site,ACP2
5,binds to UQCRFS1,ACP2
0,binds to SLC35F6,ACP5
1,Binding site,ACP5
2,binds to PDCD5,ACP5
4,Binding site,ACP5
5,Binding site,ACP5
0,Active site,ACP6
2,binds to GNG7,ACP6
3,binds to FAM9B,ACP6
1,binds to TP53BP1,ACR
4,binds to TP53BP1,ACR
0,Binding site,ACSBG1
1,Binding site,ACSBG1
2,Binding site,ACSBG1
3,PTM - Phosphoserine,ACSBG1
4,Binding site,ACSBG1
5,Binding site,ACSBG1
0,Binding site,ACSBG2
1,Binding site,ACSBG2
2,Binding site,ACSBG2
3,Binding site,ACSBG2
4,Binding site,ACSBG2
5,Binding site,ACSBG2
1,Binding site,ACSF2
4,binds to ARL6IP1,ACSF2
1,binds to GLP1R,ACSF3
3,Binding site,ACSF3
0,PTM - N-acetylmethionine,ACSL1
1,PTM - N-acetylmethionine,ACSL1
2,PTM - N-acetylmethionine,ACSL1
3,PTM - N-acetylmethionine,ACSL1
4,PTM - N-acetylmethionine,ACSL1
5,PTM - N-acetylmethionine,ACSL1
0,PTM - Phosphoserine,ACSL3
1,PTM - Phosphoserine,ACSL3
2,PTM - Phosphoserine,ACSL3
3,PTM - Phosphoserine,ACSL3
4,PTM - Phosphoserine,ACSL3
5,PTM - Phosphoserine,ACSL3
0,binds to DSE,ACSL4
1,binds to DSE,ACSL4
2,PTM - Phosphoserine,ACSL4
3,binds to DSE,ACSL4
4,binds to DSE,ACSL4
5,binds to DSE,ACSL4
0,PTM - N6-acetyllysine,ACSL5
1,PTM - N6-acetyllysine,ACSL5
2,PTM - N6-acetyllysine,ACSL5
3,PTM - N6-acetyllysine,ACSL5
4,PTM - N6-acetyllysine,ACSL5
5,PTM - N6-acetyllysine,ACSL5
0,Binding site,ACSM1
1,Binding site,ACSM1
3,Binding site,ACSM1
4,Binding site,ACSM1
1,Binding site,ACSM2A
2,Binding site,ACSM2A
4,Binding site,ACSM2A
5,Binding site,ACSM2A
0,binds to ESR2,ACSM2B
2,binds to ESR2,ACSM2B
0,binds to EHMT2,ACSM3
1,Binding site,ACSM3
4,PTM - N6-succinyllysine,ACSM3
1,Binding site,ACSM4
3,Binding site,ACSM4
5,Binding site,ACSM4
0,PTM - N6-acetyllysine; alternate,ACSM5
2,PTM - N6-acetyllysine; alternate,ACSM5
3,Binding site,ACSM5
4,Binding site,ACSM5
0,binds to VAC14,ACSS1
2,PTM - N6-acetyllysine,ACSS1
3,binds to VAC14,ACSS1
5,binds to SIRT3,ACSS1
0,binds to CAD,ACSS2
1,Binding site,ACSS2
2,binds to WARS1,ACSS2
3,binds to CAD,ACSS2
4,binds to CAD,ACSS2
5,binds to MAT2A,ACSS2
